id,carat,cut,color,clarity,depth,table,price
81,0.42,3,2,4,60.9,59.0,1103
82,0.7,4,1,4,63.4,56.0,3107
83,1.19,4,1,2,58.0,63.0,5956
84,0.7,3,1,2,60.5,58.0,2777
85,1.53,1,2,4,60.8,61.0,15619
86,1.02,2,4,2,59.9,56.0,5079
87,0.97,3,2,3,61.9,58.0,4063
88,0.36,3,2,2,61.1,59.0,600
89,1.22,3,3,4,61.6,60.0,7850
90,0.32,2,0,3,62.8,57.0,612
91,0.3,2,0,4,60.8,56.0,885
92,0.57,2,4,1,62.2,56.0,2195
93,0.9,3,1,3,59.2,60.0,3701
94,0.43,1,2,2,63.6,53.0,739
95,2.18,2,5,2,61.2,56.0,15646
96,0.33,2,5,5,62.4,56.0,463
97,0.31,4,1,7,60.8,55.0,816
98,1.71,4,2,2,63.3,53.0,13152
99,0.42,4,1,2,59.8,61.0,722
100,0.3,2,2,6,62.0,58.0,814
101,0.32,2,2,7,60.9,56.0,800
102,0.3,3,2,5,62.2,60.0,776
103,2.13,3,3,3,60.7,60.0,16778
104,0.33,3,1,2,62.2,59.0,743
105,0.31,2,3,4,61.0,55.0,625
106,0.9,4,0,2,62.5,59.0,4579
107,1.1,4,5,4,61.0,59.0,4878
108,0.37,2,3,5,60.3,56.0,682
109,0.4,4,1,2,63.0,57.0,687
110,0.42,3,1,2,62.3,58.0,992
111,0.34,2,2,6,61.4,55.0,919
112,1.21,2,6,2,61.9,54.0,5341
113,2.0,3,4,2,59.8,60.0,14126
114,0.3,4,1,4,61.4,59.0,653
115,0.38,4,3,6,59.9,56.0,970
116,2.01,4,2,3,63.3,59.0,11925
117,1.79,3,3,4,61.7,59.0,18419
118,0.3,4,3,6,60.7,56.0,725
119,0.62,2,3,7,61.8,57.0,2548
120,0.71,2,1,2,61.3,55.0,2817
121,1.88,4,0,3,63.2,60.0,9791
122,0.31,2,2,4,61.2,57.0,695
123,1.27,2,5,4,62.8,57.0,6396
124,0.67,2,3,6,62.4,55.0,2577
125,0.3,4,3,4,61.7,57.0,620
126,0.79,2,4,7,62.0,55.9,3324
127,0.32,2,0,3,61.7,55.0,454
128,0.42,4,4,5,62.1,57.0,773
129,1.37,4,3,4,58.3,60.0,10226
130,1.05,2,3,4,61.0,56.0,7526
131,0.7,4,1,3,60.1,56.0,2290
132,0.9,4,2,2,61.6,56.0,3724
133,0.9,4,3,2,63.1,59.0,3669
134,0.23,4,1,5,62.5,59.0,373
135,1.42,1,2,5,63.7,57.0,9542
136,0.32,4,4,5,63.0,57.0,505
137,0.32,3,6,5,61.9,59.0,393
138,0.45,0,3,2,68.6,57.0,756
139,0.31,2,4,7,62.4,57.0,625
140,1.07,3,3,4,58.6,60.0,6730
141,0.74,4,3,7,61.3,56.0,3413
142,2.01,1,4,0,63.9,59.0,7024
143,0.41,2,2,2,62.7,57.0,755
144,0.4,2,1,2,62.2,54.0,1074
145,0.3,2,4,4,62.3,55.1,539
146,0.9,0,5,7,67.0,56.0,3074
147,0.54,4,2,4,60.0,59.0,1653
148,0.43,3,3,4,61.8,59.0,1008
149,0.6,3,1,4,61.0,61.0,1875
150,1.54,2,3,3,61.7,56.0,9359
151,1.35,3,6,2,61.1,61.0,5715
152,0.7,4,3,4,60.8,56.0,2512
153,1.7,3,4,2,61.8,61.0,11848
154,1.24,2,0,7,62.6,55.0,13929
155,0.42,4,4,6,62.2,56.0,1193
156,0.32,2,1,6,61.7,56.0,1020
157,0.9,4,0,3,60.6,61.0,3534
158,0.34,2,4,2,61.5,55.0,647
159,0.38,3,1,5,61.8,58.0,1112
160,0.51,2,3,1,61.3,56.0,2163
161,0.3,2,3,6,61.7,57.0,789
162,0.42,4,2,2,63.3,56.0,926
163,0.92,4,1,2,63.2,58.0,4183
164,0.8,2,2,5,62.7,54.0,3369
165,0.93,1,0,3,64.5,58.0,3839
166,0.72,2,5,7,61.2,59.0,2452
167,0.75,4,1,2,62.3,58.0,2923
168,0.56,2,0,4,61.7,56.0,2026
169,2.09,2,5,2,61.8,56.0,17114
170,1.1,4,5,2,62.7,58.0,4356
171,0.71,3,3,4,62.4,61.0,2803
172,0.8,3,0,2,59.4,55.0,3226
173,0.7,4,4,4,60.3,63.0,2399
174,0.34,4,0,5,62.9,55.0,805
175,0.52,4,1,3,61.8,54.0,1120
176,1.05,2,3,6,60.7,55.0,8946
177,0.32,2,3,5,62.5,56.0,720
178,0.5,3,1,5,61.4,58.0,1624
179,2.01,3,5,4,62.9,59.0,18206
180,0.5,3,3,4,59.9,59.0,1624
181,1.01,2,0,7,61.6,57.0,12996
182,1.11,4,4,2,62.0,55.0,4871
183,0.41,2,2,1,61.4,58.0,1439
184,0.33,2,5,2,61.3,56.0,463
185,0.26,4,1,6,59.9,58.0,597
186,1.09,2,3,3,61.2,57.0,4586
187,0.52,2,1,5,62.3,53.0,1549
188,0.34,2,4,4,62.5,57.0,596
189,0.56,0,2,2,61.6,61.0,1176
190,0.28,1,3,5,61.8,61.0,394
191,0.23,4,0,5,62.9,57.0,402
192,0.51,3,3,5,62.3,59.0,1546
193,1.73,3,5,4,62.2,59.0,12674
194,0.71,2,4,7,61.7,57.0,3371
195,0.7,1,4,2,61.9,62.0,2088
196,0.91,3,4,5,61.9,59.0,4201
197,0.71,4,3,5,61.9,62.0,2671
198,0.3,4,4,6,62.8,56.0,655
199,1.51,1,5,4,64.0,60.0,8975
200,0.36,2,1,2,62.9,56.0,810
201,0.31,4,2,5,62.1,54.0,500
202,0.55,2,3,2,61.3,56.0,1605
203,1.58,3,2,3,60.7,60.0,6990
204,0.9,3,4,5,61.8,58.0,4155
205,0.34,2,2,5,62.1,56.0,880
206,0.34,2,5,6,61.8,56.0,626
207,1.03,2,2,6,61.3,54.0,9881
208,0.71,2,2,5,61.8,55.0,3516
209,1.2,3,4,3,62.5,58.0,5280
210,0.3,4,6,4,63.4,55.0,506
211,0.61,2,6,2,62.0,55.0,1143
212,0.53,2,2,6,61.4,57.0,2860
213,1.51,1,4,3,61.0,56.0,8243
214,0.7,3,2,2,61.3,59.0,2161
215,0.7,2,2,4,61.6,55.0,2874
216,0.98,0,4,2,68.6,58.0,3583
217,1.11,2,6,3,61.7,57.0,4092
218,0.61,4,6,2,60.8,58.0,1149
219,0.24,1,2,7,64.0,61.0,471
220,1.02,4,2,3,60.2,61.0,4162
221,1.57,2,5,2,62.4,53.6,9460
222,1.03,3,4,2,62.5,59.0,5129
223,1.14,2,6,3,61.5,57.0,4212
224,0.25,4,1,7,63.0,57.0,575
225,2.02,1,4,3,59.0,61.0,13144
226,0.55,2,4,4,61.9,55.0,1588
227,0.54,2,2,5,61.4,57.0,1662
228,0.9,4,4,3,59.5,63.0,3105
229,0.91,3,1,2,60.5,61.0,4138
230,0.31,3,3,5,60.7,61.0,698
231,1.51,2,0,3,61.2,56.0,6934
232,0.9,4,5,5,62.0,63.0,3338
233,0.31,1,0,2,63.5,56.0,571
234,0.5,0,4,5,56.3,65.0,1332
235,0.3,2,5,4,61.6,56.0,473
236,1.25,4,5,5,62.7,58.0,5975
237,0.44,4,6,4,61.9,57.0,694
238,1.11,3,3,5,61.5,58.0,7055
239,1.01,2,0,3,61.6,57.0,5051
240,1.06,3,3,5,60.9,57.0,6582
241,0.59,2,3,7,62.6,57.0,2125
242,0.34,1,5,2,63.7,54.0,447
243,0.42,2,5,6,62.5,57.0,945
244,0.83,3,1,2,58.4,59.0,3506
245,0.31,2,1,5,61.7,55.0,642
246,0.43,4,0,2,62.9,56.0,760
247,1.11,2,1,2,61.4,58.0,6291
248,1.06,2,5,3,61.4,57.0,3777
249,1.16,2,1,3,59.9,57.0,5001
250,2.14,4,5,5,59.7,57.0,16914
251,1.51,4,3,4,63.1,60.0,13811
252,0.92,4,0,3,60.2,61.0,3057
253,1.0,4,0,5,62.6,58.0,6762
254,1.08,2,2,5,62.3,54.0,7917
255,0.3,2,5,1,62.0,57.0,615
256,0.3,2,3,6,61.4,56.0,945
257,0.41,2,2,5,60.8,56.0,1107
258,0.26,2,2,6,60.3,56.0,733
259,1.51,0,5,5,64.6,58.0,8287
260,0.31,3,5,7,59.4,59.0,544
261,0.7,2,4,2,62.0,55.0,2184
262,0.38,2,2,2,60.4,57.0,844
263,0.31,3,4,7,61.4,58.0,802
264,0.76,4,1,7,60.6,59.0,3833
265,0.7,1,0,3,63.7,58.0,2367
266,0.28,4,2,4,61.0,59.0,487
267,1.28,2,2,4,61.5,55.0,12061
268,1.28,3,6,3,62.3,58.0,4636
269,1.52,2,1,3,61.0,56.0,8299
270,2.26,3,5,3,62.0,58.0,16241
271,0.3,2,3,2,62.3,56.0,477
272,0.31,2,3,4,61.9,56.0,542
273,1.01,4,2,2,62.9,57.0,6075
274,0.9,3,1,2,61.9,58.0,4209
275,1.0,4,0,4,62.7,60.0,7877
276,0.4,2,2,3,62.0,57.0,597
277,0.71,2,3,7,61.5,57.0,2893
278,0.34,3,1,2,59.3,58.0,596
279,1.13,2,4,2,62.3,56.0,5384
280,0.32,2,3,6,60.3,58.0,779
281,1.0,2,1,3,61.8,57.0,4743
282,1.5,2,4,4,61.3,55.0,10080
283,0.35,4,3,7,62.4,56.0,798
284,0.41,4,2,5,59.4,60.0,951
285,1.51,1,5,3,63.6,60.0,7957
286,0.3,2,1,4,60.0,56.0,663
287,1.0,1,5,7,57.4,59.0,4032
288,1.51,3,3,5,59.6,57.0,12696
289,0.7,0,2,5,65.3,55.0,2762
290,1.2,2,6,5,62.2,54.0,4106
291,0.4,4,5,2,63.2,54.0,765
292,1.24,4,3,2,61.8,58.0,7106
293,0.59,2,2,4,61.1,56.0,2140
294,0.76,3,3,3,62.8,60.0,2364
295,1.01,2,3,2,61.4,55.0,4653
296,1.1,3,6,3,59.6,59.0,3726
297,0.61,2,3,3,60.5,56.0,1306
298,0.5,0,2,2,64.7,60.0,1069
299,0.83,3,4,2,62.5,59.0,2825
300,0.93,2,4,2,62.4,55.0,4635
301,1.03,2,0,2,62.2,56.0,6299
302,0.9,3,3,2,62.2,60.0,3984
303,1.3,3,4,3,60.4,61.0,4732
304,0.57,3,1,2,61.4,58.0,1728
305,0.25,3,1,7,62.5,59.0,576
306,1.01,1,3,7,63.1,56.0,7430
307,1.01,3,1,5,60.2,58.0,6335
308,0.7,1,0,2,61.3,61.0,2980
309,1.01,1,4,5,64.2,55.0,4839
310,1.35,3,5,3,59.8,59.0,5715
311,0.91,4,0,3,60.8,58.0,3910
312,0.3,2,1,6,61.7,58.0,862
313,0.36,2,1,5,61.5,56.2,801
314,0.95,3,3,3,59.8,60.0,3181
315,0.55,4,3,4,59.4,62.0,1667
316,0.37,3,3,4,61.4,58.0,957
317,1.25,3,4,4,62.0,59.0,8099
318,1.27,2,3,5,62.0,58.0,8915
319,1.29,2,4,3,62.1,57.0,5926
320,0.9,3,5,2,60.9,56.0,2947
321,1.52,0,4,3,64.9,58.0,6129
322,0.2,4,1,5,63.4,59.0,367
323,0.35,3,1,2,61.1,59.0,788
324,0.31,3,1,7,62.2,56.0,1116
325,0.7,1,2,6,63.3,56.0,3310
326,0.8,2,3,7,61.5,55.0,4740
327,0.33,2,5,7,62.4,57.0,743
328,0.91,4,1,2,62.3,59.0,4914
329,1.1,4,2,0,59.8,61.0,3678
330,1.07,3,4,3,62.2,59.0,4194
331,0.37,2,3,7,61.9,54.0,917
332,1.26,3,6,5,62.0,60.0,5173
333,1.26,3,4,3,61.3,57.0,6350
334,0.31,3,4,7,60.6,60.0,625
335,1.34,3,4,5,62.3,60.0,7816
336,1.51,4,4,7,63.1,59.0,11934
337,1.21,2,4,5,62.2,55.0,5882
338,0.3,2,0,5,61.6,56.0,670
339,0.32,4,0,5,62.0,57.0,758
340,0.71,3,2,4,59.1,61.0,2839
341,0.32,2,3,4,61.8,55.0,828
342,0.29,2,4,4,61.8,57.0,498
343,0.58,3,3,3,61.2,59.0,1307
344,1.59,3,4,3,62.6,59.0,9385
345,0.53,2,5,7,61.2,56.0,1341
346,0.41,3,5,3,60.6,59.0,600
347,0.5,2,2,4,61.6,57.0,1695
348,2.01,2,4,2,62.1,55.0,18295
349,0.51,2,2,4,61.7,54.0,1744
350,0.52,2,3,7,61.8,57.0,2012
351,0.61,2,5,3,61.1,57.0,1401
352,1.08,3,3,4,62.9,55.0,6982
353,0.36,4,1,3,62.6,57.0,505
354,0.43,2,0,4,61.9,55.0,1207
355,0.7,4,2,5,61.6,60.0,2593
356,0.5,3,0,2,62.2,59.0,1654
357,0.7,0,5,2,65.0,56.0,1720
358,1.51,4,4,5,62.8,58.0,10225
359,0.41,3,0,6,62.3,53.0,1582
360,0.3,3,4,2,60.8,61.0,540
361,0.37,0,2,1,52.3,61.0,1166
362,1.23,2,3,5,62.4,57.0,8233
363,0.58,2,1,5,62.0,57.0,1752
364,0.38,3,4,5,60.5,59.0,898
365,0.79,2,0,2,61.3,54.0,3328
366,0.9,4,3,3,62.6,60.0,3593
367,1.0,3,4,5,62.4,59.0,5404
368,0.3,2,2,1,61.8,56.0,886
369,1.0,3,3,5,61.3,62.0,6048
370,1.25,4,3,6,60.6,60.0,10962
371,0.8,3,3,2,63.0,59.0,2760
372,0.31,2,0,5,62.1,55.0,636
373,0.38,2,4,6,60.7,56.0,1069
374,0.71,4,5,3,60.4,59.0,2003
375,0.33,4,1,2,60.2,58.0,579
376,0.3,3,1,5,62.0,58.0,844
377,0.3,2,2,4,61.0,56.0,731
378,0.35,2,0,2,62.3,55.0,827
379,0.41,3,1,2,61.4,56.0,969
380,0.29,2,3,1,62.0,56.0,673
381,0.31,1,1,2,63.9,56.0,544
382,0.71,2,3,2,62.9,57.0,2352
383,0.71,3,4,4,59.1,61.0,2572
384,1.07,2,2,3,61.4,56.0,5313
385,0.55,1,5,2,57.7,61.0,1089
386,2.01,2,3,5,63.0,56.0,18172
387,0.9,1,2,3,58.0,57.0,3770
388,0.36,2,3,3,62.3,54.0,505
389,0.4,2,0,3,60.5,57.0,648
390,0.52,4,3,4,61.8,58.0,1581
391,2.08,3,5,3,61.2,58.0,15321
392,1.5,3,1,5,61.8,59.0,14790
393,0.59,2,3,1,62.0,54.0,2444
394,0.31,2,2,6,62.0,54.0,840
395,1.5,1,0,3,61.9,61.0,10302
396,1.52,3,3,7,62.1,58.0,14105
397,0.71,2,2,7,62.6,56.0,3018
398,0.33,4,2,5,62.4,57.0,666
399,0.41,2,0,4,62.8,57.0,1230
400,0.84,2,5,4,61.4,57.0,3201
401,0.73,4,2,2,61.3,56.0,3023
402,0.71,4,3,2,63.1,60.0,2240
403,1.03,3,1,2,61.3,60.0,5101
404,1.54,3,3,2,60.5,61.0,11574
405,0.54,1,1,7,60.1,61.0,2502
406,0.7,3,2,5,60.2,59.0,2657
407,0.52,3,1,5,61.6,59.0,1694
408,0.41,4,0,2,63.3,55.0,947
409,0.31,2,4,5,61.9,55.0,628
410,0.71,3,2,4,58.6,62.0,3082
411,0.43,4,3,6,61.3,57.0,1207
412,0.9,4,3,3,61.4,58.0,3489
413,0.34,2,1,5,62.1,54.0,745
414,0.33,2,1,2,62.5,55.0,743
415,0.33,4,3,4,60.1,61.0,666
416,0.71,3,1,2,60.5,55.0,2756
417,0.7,1,0,5,63.9,58.0,3033
418,1.53,4,4,1,63.1,57.0,13369
419,0.33,2,2,1,61.8,55.0,1028
420,2.01,1,3,3,63.6,59.0,11096
421,1.02,4,2,3,63.0,58.0,4162
422,0.35,3,1,5,60.7,60.0,984
423,0.3,2,1,5,62.4,57.0,844
424,0.3,1,3,7,63.1,56.0,684
425,0.74,3,2,4,61.7,57.0,3170
426,1.02,3,1,3,58.7,59.0,4478
427,0.43,2,3,4,61.3,57.0,943
428,0.73,3,0,4,60.0,58.0,3557
429,0.3,2,1,5,61.5,56.0,658
430,0.38,2,2,6,61.5,56.0,1120
431,0.72,4,2,3,58.5,60.0,2126
432,1.47,3,4,3,59.1,56.0,7573
433,1.42,3,3,4,61.7,55.0,11861
434,0.71,2,4,4,61.9,56.0,2909
435,0.33,2,2,5,60.9,56.0,619
436,0.32,3,3,3,61.0,59.0,540
437,0.31,3,1,5,60.6,59.0,872
438,1.01,4,1,2,63.3,58.0,5077
439,1.2,4,3,2,63.2,59.0,5665
440,0.71,2,0,2,61.3,57.0,2690
441,0.46,2,0,5,62.4,56.0,1298
442,0.43,3,2,4,62.5,58.0,1129
443,0.53,3,5,4,62.3,58.0,1286
444,0.32,2,1,5,61.4,56.0,599
445,1.0,3,2,3,62.9,56.0,4333
446,1.22,2,6,4,61.5,55.0,5649
447,1.62,2,3,5,61.7,54.0,15318
448,0.78,4,3,5,61.7,58.0,3074
449,1.2,3,3,7,62.8,59.0,10053
450,0.42,4,2,5,61.7,59.0,884
451,0.6,4,2,2,62.4,56.0,1554
452,0.43,1,2,2,60.7,61.0,706
453,0.3,3,6,4,63.0,59.0,506
454,0.29,2,1,7,62.0,55.0,858
455,0.57,2,1,5,61.6,56.0,1949
456,0.41,1,1,5,61.1,61.0,982
457,0.41,3,3,7,61.6,58.0,1076
458,1.03,2,2,4,59.0,55.0,7752
459,0.74,2,3,4,60.9,55.0,3635
460,1.21,4,5,3,62.0,56.0,5111
461,0.65,3,5,3,60.7,58.0,1219
462,1.52,3,4,3,58.7,62.0,8127
463,1.0,3,2,2,59.0,59.0,4144
464,0.33,4,2,1,58.7,55.0,897
465,0.7,2,2,2,60.8,60.0,2445
466,0.3,2,0,4,62.0,54.0,848
467,2.03,2,4,3,61.8,56.0,15143
468,0.33,2,3,4,62.1,56.0,854
469,1.1,4,1,3,63.3,56.0,4140
470,0.5,2,0,5,62.3,55.0,1752
471,1.2,2,5,3,62.5,56.0,3931
472,0.78,3,3,3,60.6,58.0,2486
473,1.01,4,1,4,62.0,57.0,6996
474,0.44,3,3,6,60.9,59.0,1294
475,1.23,4,3,3,60.8,59.0,5037
476,0.5,2,4,4,61.7,59.0,1429
477,1.15,3,0,2,63.0,57.0,6942
478,0.5,3,1,3,61.0,62.0,1097
479,1.01,3,4,5,61.3,59.0,5166
480,1.02,3,4,2,61.1,58.0,5084
481,0.71,4,5,7,62.5,57.0,2495
482,0.97,3,2,3,58.9,58.0,4020
483,0.84,4,0,2,62.9,58.0,3816
484,0.51,1,2,2,64.1,58.0,1274
485,0.57,3,1,3,62.5,54.0,1058
486,1.21,4,4,2,62.8,56.0,6022
487,1.01,4,4,5,62.0,59.0,5186
488,1.11,4,0,3,61.3,60.0,5042
489,0.59,1,2,5,64.9,57.0,1643
490,1.01,4,4,5,62.6,61.0,4821
491,0.24,4,2,6,61.8,58.0,478
492,0.23,2,2,5,61.8,55.0,493
493,0.57,2,4,2,61.8,55.0,1292
494,0.74,1,4,5,57.5,57.0,2369
495,0.42,2,2,7,60.6,57.0,1221
496,1.0,1,3,5,56.7,62.0,4838
497,0.39,2,4,7,61.4,56.1,853
498,1.05,3,3,3,60.1,60.0,3828
499,0.6,2,2,5,61.9,55.0,1875
500,0.32,4,6,6,60.2,60.0,544
501,0.31,1,1,2,63.2,59.0,544
502,0.34,1,2,5,64.3,53.0,589
503,0.34,2,1,5,62.2,55.0,745
504,1.06,2,4,5,61.2,55.0,5277
505,0.31,1,3,2,63.2,54.0,462
506,1.01,3,4,3,61.6,59.0,4166
507,0.72,2,4,7,61.8,55.0,3417
508,0.32,4,4,4,62.9,54.0,561
509,1.01,1,0,3,61.5,56.0,4260
510,1.09,4,5,5,62.0,56.0,4959
511,1.0,2,2,7,61.5,55.0,7849
512,0.93,4,3,2,62.5,57.8,3933
513,0.42,2,0,7,61.7,57.0,1132
514,1.51,3,3,3,62.4,57.0,7695
515,1.22,2,4,3,61.0,57.0,5502
516,2.01,2,3,2,62.1,57.0,18736
517,1.1,3,2,2,59.5,59.0,5821
518,0.31,2,1,4,61.7,53.0,800
519,1.5,4,3,5,60.5,57.0,12014
520,0.3,3,3,7,60.8,58.0,878
521,1.01,2,1,6,61.8,54.0,10789
522,1.01,4,1,2,59.9,59.0,5224
523,2.4,4,5,3,60.6,58.5,17955
524,0.31,4,2,2,63.1,57.0,663
525,0.51,4,3,5,62.9,57.0,1438
526,0.51,4,1,4,58.1,60.0,1583
527,0.3,3,1,5,61.8,58.0,658
528,1.01,3,5,2,61.8,59.0,4166
529,1.53,3,5,2,62.6,57.0,9022
530,0.35,3,2,2,62.3,58.0,748
531,0.72,2,2,5,60.3,56.0,2724
532,1.35,4,3,5,62.8,59.0,9302
533,0.7,2,1,5,61.7,56.0,2979
534,1.7,4,1,5,58.6,62.0,18176
535,1.0,2,5,2,61.8,55.0,4602
536,0.34,2,3,6,62.1,53.0,863
537,0.53,2,0,5,62.6,56.0,1956
538,0.75,4,3,2,60.9,58.0,2545
539,1.01,1,5,5,62.5,59.0,4239
540,1.08,2,4,5,61.9,54.0,5850
541,0.9,3,0,2,62.2,60.0,3013
542,1.2,3,6,2,61.4,59.0,4838
543,0.36,2,0,7,61.0,56.0,1126
544,0.4,2,5,6,61.0,56.0,849
545,0.71,2,2,0,60.1,57.0,1761
546,0.3,4,0,4,63.0,56.0,645
547,1.13,3,5,2,62.8,57.0,4746
548,1.01,2,2,3,62.4,54.0,5154
549,0.3,3,1,5,62.6,62.0,788
550,0.3,3,3,4,62.8,59.0,776
551,0.54,2,4,4,61.6,59.0,1630
552,1.56,3,1,3,62.4,60.0,10090
553,0.71,4,1,3,62.2,58.0,2423
554,2.0,3,3,3,60.3,57.0,12388
555,0.3,2,3,5,61.2,55.0,545
556,0.58,3,1,2,60.6,56.0,1949
557,0.76,2,0,4,61.3,57.0,4229
558,1.01,1,5,3,62.6,59.0,3399
559,1.6,2,3,6,60.8,56.0,16339
560,0.74,3,1,4,61.1,58.0,3401
561,1.28,1,6,4,59.1,62.0,5759
562,0.32,3,4,2,62.0,58.0,591
563,0.35,3,0,3,60.8,58.0,522
564,1.04,4,2,2,59.7,59.0,5152
565,1.23,2,6,3,63.2,58.0,5083
566,0.4,4,1,4,62.6,56.0,1053
567,0.72,2,2,3,61.6,57.0,2074
568,0.4,2,1,7,61.7,56.0,1158
569,0.72,4,0,5,62.1,59.0,3016
570,0.43,3,3,5,62.9,59.0,1113
571,1.0,2,1,2,62.9,56.0,5935
572,1.51,3,4,3,62.8,60.0,8074
573,0.73,2,6,2,61.3,57.0,1956
574,0.7,4,1,5,58.8,56.0,2473
575,0.5,3,3,5,61.5,57.0,1415
576,0.65,4,0,7,59.9,58.0,3056
577,0.32,3,4,5,60.7,60.0,648
578,0.7,2,3,2,61.9,58.0,2567
579,0.32,2,3,1,61.6,55.0,918
580,1.6,2,4,4,61.4,57.0,12681
581,0.9,4,3,5,62.4,60.0,4182
582,0.79,2,3,2,62.3,57.0,2898
583,0.51,2,3,4,60.2,56.0,1852
584,0.54,2,5,1,62.5,55.0,1763
585,1.01,3,2,3,61.7,60.0,4616
586,0.55,4,1,5,61.6,60.0,1719
587,0.32,2,3,5,62.4,55.0,672
588,0.34,2,3,1,61.6,56.0,1084
589,1.01,1,4,2,60.1,61.0,5544
590,1.01,1,3,5,62.0,61.0,5497
591,0.9,2,3,3,61.5,57.0,4032
592,1.05,2,0,3,60.2,57.0,4932
593,1.24,2,2,6,61.2,55.0,15026
594,0.27,4,2,7,61.3,57.0,682
595,0.37,2,4,6,61.4,55.0,815
596,0.31,4,4,1,61.3,55.0,778
597,0.72,4,2,2,62.6,55.0,2440
598,1.7,2,4,5,62.2,57.0,13632
599,0.55,2,3,4,60.9,55.0,1881
600,1.15,2,4,2,61.6,55.0,7100
601,1.07,4,3,5,62.9,59.0,6525
602,0.42,4,0,6,61.4,55.0,1197
603,0.9,2,4,7,62.0,57.0,4924
604,1.74,3,5,4,62.5,57.0,13037
605,0.83,4,4,2,62.5,59.0,2800
606,1.01,4,2,7,62.5,63.0,7715
607,0.91,4,6,5,61.0,58.0,3258
608,0.33,2,4,7,61.9,57.0,854
609,0.52,4,3,2,62.8,61.0,1244
610,0.26,2,4,4,62.1,56.0,448
611,1.01,3,2,2,59.1,59.0,4989
612,0.3,2,4,2,62.9,53.0,407
613,0.9,2,4,5,61.9,55.0,4133
